projectName,creationDate,creationCommitHash,type,squid,component,severity,startLine,endLine,resolution,status,message,effort,debt,author
testi,2019-07-04T13:47:45+0000,f1bdbe4c0f44533b374ec6c66492a6c0,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java,CRITICAL,46,46,,OPEN,"Define a constant instead of duplicating this literal ""java.util.Calendar"" 3 times.",8min,8min,
testi,2019-07-04T13:47:45+0000,f1bdbe4c0f44533b374ec6c66492a6c0,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java,CRITICAL,46,46,,OPEN,"Define a constant instead of duplicating this literal ""https://commons.apache.org"" 5 times.",12min,12min,
testi,2019-07-04T13:47:45+0000,f1bdbe4c0f44533b374ec6c66492a6c0,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java,CRITICAL,46,46,,OPEN,"Define a constant instead of duplicating this literal ""build.xml"" 3 times.",8min,8min,
testi,2019-02-17T17:49:33+0000,,CODE_SMELL,common-java:DuplicatedBlocks,testi:src/main/java/org/apache/commons/cli/DefaultParser.java,MAJOR,,OPEN,1 duplicated blocks of code must be removed.,20min,20min,
testi,2019-02-17T17:49:33+0000,,CODE_SMELL,common-java:DuplicatedBlocks,testi:src/main/java/org/apache/commons/cli/Parser.java,MAJOR,,OPEN,1 duplicated blocks of code must be removed.,20min,20min,
testi,2018-02-26T17:23:40+0000,9c6aa194d28db01e46712e345c2ee909,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,152,152,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2018-02-26T17:23:40+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,153,153,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-27T16:46:37+0000,683502a5044c0663983633ef2e43595a,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/DisablePartialMatchingTest.java,CRITICAL,36,36,,OPEN,"Define a constant instead of duplicating this literal ""option"" 4 times.",10min,10min,
testi,2017-06-23T11:04:59+0000,4b9d8d2722a9782414debc72637562da,CODE_SMELL,squid:UselessImportCheck,testi:src/test/java/org/apache/commons/cli/DisablePartialMatchingTest.java,MINOR,20,20,,OPEN,Remove this unused import 'org.junit.Before'.,2min,2min,
testi,2017-06-23T11:04:59+0000,b5a509e1a824a6f6abf5cea183ed727e,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/DisablePartialMatchingTest.java,MAJOR,28,28,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-23T11:04:59+0000,345a08adf759e6441079f20d01bd907f,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/DisablePartialMatchingTest.java,CRITICAL,34,34,,OPEN,"Define a constant instead of duplicating this literal ""debug"" 4 times.",10min,10min,
testi,2017-06-23T11:04:59+0000,499cd0759d350eb3742a3da5f72797ca,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/DisablePartialMatchingTest.java,CRITICAL,35,35,,OPEN,"Define a constant instead of duplicating this literal ""extract"" 4 times.",10min,10min,
testi,2017-06-23T11:04:59+0000,c31c332e74154fc09df1a33821d3bebb,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/DisablePartialMatchingTest.java,MAJOR,46,46,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-23T11:04:27+0000,94367a25170a03a49a02653f0665f080,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/DefaultParser.java,CRITICAL,530,530,,OPEN,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,15min,15min,
testi,2017-06-23T11:04:27+0000,1332d0bd3b17bb958680eb89cd939fb9,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/DefaultParser.java,MINOR,719,719,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,35,35,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,ea6a8150c179c7a76eb41de766924b0f,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,41,41,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,42,42,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,25cc52ffaa5cfb2c029537c8dccecd1a,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,48,48,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
